Date,Open,High,Low,Close,Adj Close,Volume,P.E. ratio,36months return,60months return,120months return,,,,,,,date, value
1/2/2013,1498.109985,1530.939941,1485.01001,1514.680054,1514.680054,69273480000,17.2712,8.5%,12.4%,10.1%,,,,,,,1/1/1941,9.5
1/3/2013,1514.680054,1570.280029,1501.47998,1569.189941,1569.189941,68527110000,17.8927,9.5%,11.0%,10.1%,,,,,,,1/2/1941,9.3585
1/4/2013,1569.180054,1597.569946,1536.030029,1597.569946,1597.569946,77098000000,17.5654,8.9%,10.6%,10.1%,,,,,,,1/3/1941,9.3962
1/5/2013,1597.550049,1687.180054,1581.280029,1630.73999,1630.73999,76447250000,17.9301,8.7%,10.7%,9.9%,,,,,,,1/4/1941,8.5413
1/6/2013,1631.709961,1654.189941,1560.329956,1606.280029,1606.280029,74946790000,17.6611,9.3%,11.1%,10.7%,,,,,,,1/5/1941,8.578
1/7/2013,1609.780029,1698.780029,1604.569946,1685.72998,1685.72998,68106820000,17.863,8.8%,10.8%,10.5%,,,,,,,1/6/1941,9.0367
1/8/2013,1689.420044,1709.670044,1627.469971,1632.969971,1632.969971,64802810000,17.3039,10.0%,12.2%,10.7%,,,,,,,1/7/1941,8.7311
1/9/2013,1635.949951,1729.859985,1633.410034,1681.550049,1681.550049,66174410000,17.8187,8.8%,11.6%,9.8%,,,,,,,1/8/1941,8.6555
1/10/2013,1682.410034,1775.219971,1646.469971,1756.540039,1756.540039,76647400000,17.5303,6.6%,9.1%,9.1%,,,,,,,1/9/1941,8.5714
1/11/2013,1758.699951,1813.550049,1746.199951,1805.810059,1805.810059,63628190000,18.0221,6.8%,8.9%,9.7%,,,,,,,1/10/1941,8.1897
1/12/2013,1806.550049,1849.439941,1767.98999,1848.359985,1848.359985,64958820000,18.4467,6.6%,6.3%,9.9%,,,,,,,1/11/1941,7.8448
1/1/2014,1845.859985,1850.839966,1770.449951,1782.589966,1782.589966,75871910000,17.6757,8.5%,8.7%,10.5%,,,,,,,1/12/1941,7.4914
