Date,Open,High,Low,Close,Adj Close,Volume,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change,,,,,,,HS Index,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change
13/6/2005,13948.41992,13978.63965,13898.45996,13952.01953,13952.01953,209902000,0.12%,0.66%,0.77%,0.61%,,,,,,,,,,,
14/6/2005,13954.74023,13999.05957,13901.49023,13904.80957,13904.80957,299700600,-0.34%,0.49%,0.27%,1.74%,,,,,,,,,,,
15/6/2005,13932.84961,13953.03027,13870.23047,13914.2998,13914.2998,284969400,0.07%,0.11%,0.30%,2.11%,,,,,,,,,,,
16/6/2005,13909.75,13909.75,13801.41992,13833.53027,13833.53027,258611600,-0.58%,-0.47%,0.14%,0.98%,,,,,,,,,,,
17/6/2005,13866.79004,13926.58984,13847.5,13912.03027,13912.03027,412312000,0.57%,-0.16%,0.68%,1.42%,,,,,,,,,,,
20/6/2005,13928.70996,13966.91016,13908.7002,13945.76953,13945.76953,246064200,0.24%,-0.04%,0.61%,1.80%,,,,,,,,,,,
21/6/2005,13935.29004,13983.48047,13890.78027,13979.34961,13979.34961,276460400,0.24%,0.54%,1.03%,1.90%,,,,,,,,,,,
22/6/2005,13995.63965,14183.38965,13995.63965,14161.01953,14161.01953,666237800,1.30%,1.77%,1.89%,4.42%,,,,,,,,,,,
23/6/2005,14197.00977,14233.80957,14157.00977,14190.44043,14190.44043,543943400,0.21%,2.58%,2.10%,4.57%,,,,,,,,,,,
24/6/2005,14141.66016,14230.29004,14108.38965,14230.29004,14230.29004,536796400,0.28%,2.29%,2.12%,3.76%,,,,,,,,,,,
27/6/2005,14142.49023,14202.98047,14142.13965,14176.04004,14176.04004,319765800,-0.38%,1.65%,1.61%,2.39%,,,,,,,,,,,
28/6/2005,14206.80957,14287.44043,14174.79004,14287.44043,14287.44043,602401600,0.79%,2.20%,2.75%,3.03%,,,,,,,,,,,
29/6/2005,14313.99023,14365.0498,14247.04004,14277.28027,14277.28027,543705000,-0.07%,0.82%,2.61%,2.91%,,,,,,,,,,,
30/6/2005,14281.46973,14310.76953,14154.7002,14201.05957,14201.05957,406370800,-0.53%,0.07%,2.66%,2.80%,,,,,,,,,,,
4/7/2005,14188.34961,14188.46973,14122.96973,14177.87012,14177.87012,362865800,-0.16%,-0.37%,1.91%,2.60%,,,,,,,,,,,
5/7/2005,14146.44043,14161,14101.55957,14124.7998,14124.7998,333218800,-0.37%,-0.36%,1.28%,1.91%,,,,,,,,,,,
6/7/2005,14170.70996,14202.08984,14126.86035,14149.92969,14149.92969,427336800,0.18%,-0.96%,1.22%,2.26%,,,,,,,,,,,
7/7/2005,14146.24023,14156.91992,14006.75,14030.80957,14030.80957,482251200,-0.84%,-1.73%,-0.92%,0.95%,,,,,,,,,,,
8/7/2005,14014.7998,14053.20996,13920.87012,13964.46973,13964.46973,340661000,-0.47%,-1.67%,-1.59%,0.48%,,,,,,,,,,,
11/7/2005,14065.33984,14157.24023,14047.00977,14157.24023,14157.24023,338976200,1.38%,-0.15%,-0.51%,1.60%,,,,,,,,,,,
12/7/2005,14214.87988,14215.48047,14094.7002,14146.9502,14146.9502,332181200,-0.07%,0.16%,-0.21%,1.40%,,,,,,,,,,,
13/7/2005,14170.30957,14308.37012,14140.40039,14307.2998,14307.2998,378495400,1.13%,1.11%,0.14%,2.89%,,,,,,,,,,,
14/7/2005,14389.37012,14497.42969,14389.37012,14491.54004,14491.54004,616934800,1.29%,3.28%,1.50%,4.15%,,,,,,,,,,,
15/7/2005,14489.83984,14550.16992,14444.58008,14504.29004,14504.29004,658528400,0.09%,3.87%,2.14%,4.85%,,,,,,,,,,,
18/7/2005,14496.5498,14578.69043,14487.87012,14567,14567,325610600,0.43%,2.89%,2.74%,4.71%,,,,,,,,,,,
19/7/2005,14493.26953,14625.08008,14493.26953,14567.74023,14567.74023,454201200,0.01%,2.97%,3.14%,4.46%,,,,,,,,,,,
20/7/2005,14584.05957,14673.83008,14567.01953,14602.7002,14602.7002,428144000,0.24%,2.06%,3.20%,4.46%,,,,,,,,,,,
21/7/2005,14660.75977,14691.74023,14560.45996,14620.13965,14620.13965,404305000,0.12%,0.89%,4.20%,3.24%,,,,,,,,,,,
22/7/2005,14744.51953,14800.30957,14655.44043,14786.45996,14786.45996,593108000,1.14%,1.95%,5.89%,4.20%,,,,,,,,,,,
25/7/2005,14794.92969,14841.58008,14768.78027,14794.03027,14794.03027,388280000,0.05%,1.56%,4.50%,3.96%,,,,,,,,,,,
26/7/2005,14818.79004,14840.44043,14744.38965,14769.92969,14769.92969,289148400,-0.16%,1.39%,4.40%,4.19%,,,,,,,,,,,
27/7/2005,14786.9502,14828.01953,14743.69043,14801.86035,14801.86035,374516000,0.22%,1.36%,3.46%,3.60%,,,,,,,,,,,
28/7/2005,14836.2998,14899.70996,14771.16016,14813.32031,14813.32031,352640800,0.08%,1.32%,2.22%,3.75%,,,,,,,,,,,
29/7/2005,14863.50977,14892.29004,14838.16016,14880.98047,14880.98047,412972800,0.46%,0.64%,2.60%,4.79%,,,,,,,,,,,
1/8/2005,14892.73047,14989.46973,14841.12012,14978.87988,14978.87988,331918200,0.66%,1.25%,2.83%,5.65%,,,,,,,,,,,
2/8/2005,15068.21973,15167.71973,15046.83984,15137.08008,15137.08008,555043400,1.06%,2.49%,3.91%,7.17%,,,,,,,,,,,
3/8/2005,15197.05957,15201.82031,15035.37012,15118.5,15118.5,537270000,-0.12%,2.14%,3.53%,6.85%,,,,,,,,,,,
4/8/2005,15101.59961,15186.11035,15076.4502,15111.54004,15111.54004,412126600,-0.05%,2.01%,3.36%,7.70%,,,,,,,,,,,
5/8/2005,15054.62988,15083.50977,14972.51953,15051.32031,15051.32031,342387400,-0.40%,1.14%,1.79%,7.78%,,,,,,,,,,,
8/8/2005,15033.98047,15117.91016,15024.54004,15108.94043,15108.94043,226935800,0.38%,0.87%,2.13%,6.72%,,,,,,,,,,,
9/8/2005,15137.63965,15161.79004,15029.38965,15047.83984,15047.83984,339751000,-0.40%,-0.59%,1.88%,6.37%,,,,,,,,,,,
10/8/2005,15113.86035,15346.41016,15095.95996,15346.41016,15346.41016,479410000,1.98%,1.51%,3.68%,7.26%,,,,,,,,,,,
11/8/2005,15432.74023,15477.13965,15330.9502,15445.2002,15445.2002,615163000,0.64%,2.21%,4.27%,6.58%,,,,,,,,,,,
12/8/2005,15459.16992,15480.7998,15398.2998,15450.9502,15450.9502,412005600,0.04%,2.66%,3.83%,6.53%,,,,,,,,,,,
15/8/2005,15435.49023,15482.15039,15391.57031,15466.05957,15466.05957,282287200,0.10%,2.36%,3.25%,6.17%,,,,,,,,,,,
16/8/2005,15455.70996,15508.57031,15394.73047,15443.62012,15443.62012,322947800,-0.15%,2.63%,2.03%,6.01%,,,,,,,,,,,
17/8/2005,15331.08984,15449.58008,15309.5,15449.58008,15449.58008,398665600,0.04%,0.67%,2.19%,5.80%,,,,,,,,,,,
18/8/2005,15442.50977,15455.16992,15101.73047,15148.08984,15148.08984,516748400,-1.95%,-1.92%,0.24%,3.61%,,,,,,,,,,,
19/8/2005,15123.25977,15173.5,15001.44043,15038.61035,15038.61035,391603000,-0.72%,-2.67%,-0.08%,1.71%,,,,,,,,,,,
22/8/2005,15093.17969,15225.58984,15049.91016,15218.62988,15218.62988,277348200,1.20%,-1.60%,0.73%,2.87%,,,,,,,,,,,
23/8/2005,15222.49023,15244.90039,14938.0498,14973.88965,14973.88965,364369200,-1.61%,-3.04%,-0.49%,1.38%,,,,,,,,,,,
24/8/2005,14934.98047,14969.5,14861.42969,14873.84961,14873.84961,286594600,-0.67%,-3.73%,-3.08%,0.49%,,,,,,,,,,,
25/8/2005,14844.17969,14963.73047,14832,14889.09961,14889.09961,289215600,0.10%,-1.71%,-3.60%,0.51%,,,,,,,,,,,
26/8/2005,14942.82031,14991.63965,14863.04004,14982.88965,14982.88965,274590800,0.63%,-0.37%,-3.03%,0.68%,,,,,,,,,,,
29/8/2005,14851.67969,14861.48047,14734.42969,14836.96973,14836.96973,317385200,-0.97%,-2.51%,-4.07%,-0.95%,,,,,,,,,,,
30/8/2005,14870.19043,14976.46973,14831.90039,14922.21973,14922.21973,240258000,0.57%,-0.35%,-3.38%,-1.42%,,,,,,,,,,,
31/8/2005,14853.63965,14927.0498,14796.50977,14903.5498,14903.5498,382671400,-0.13%,0.20%,-3.53%,-1.42%,,,,,,,,,,,
1/9/2005,15031.51953,15149.61035,15014.76953,15143.75,15143.75,412152600,1.61%,1.71%,-0.03%,0.21%,,,,,,,,,,,
2/9/2005,15197.87012,15249.15039,15131.04004,15221.88965,15221.88965,285917800,0.52%,1.60%,1.22%,1.13%,,,,,,,,,,,
5/9/2005,15231.76953,15244.04004,15179.75977,15227.83008,15227.83008,159710400,0.04%,2.63%,0.06%,0.79%,,,,,,,,,,,
6/9/2005,15287.7002,15307.65039,15038.65039,15160.78027,15160.78027,248202800,-0.44%,1.60%,1.25%,0.75%,,,,,,,,,,,
7/9/2005,15247.91992,15271.20996,15205.99023,15224.57031,15224.57031,242847400,0.42%,2.15%,2.36%,-0.79%,,,,,,,,,,,
8/9/2005,15257.53027,15257.53027,15156.91016,15166.16992,15166.16992,286588200,-0.38%,0.15%,1.86%,-1.81%,,,,,,,,,,,
9/9/2005,15168.57031,15188.42969,15081.28027,15165.76953,15165.76953,246364600,0.00%,-0.37%,1.22%,-1.85%,,,,,,,,,,,
12/9/2005,15240.40039,15240.88965,15186.57031,15199.79004,15199.79004,183454000,0.22%,-0.18%,2.45%,-1.72%,,,,,,,,,,,
13/9/2005,15159,15192.91992,15052.58008,15070.55957,15070.55957,259710000,-0.85%,-0.60%,0.99%,-2.42%,,,,,,,,,,,
14/9/2005,15059.91016,15097.2998,14979.65039,15086.62012,15086.62012,272578600,0.11%,-0.91%,1.23%,-2.35%,,,,,,,,,,,
15/9/2005,15092.42969,15129.58984,14990.0498,15041.01953,15041.01953,238076200,-0.30%,-0.83%,-0.68%,-0.71%,,,,,,,,,,,
16/9/2005,15033.08008,15035.4502,14965.98047,14983.2002,14983.2002,281685400,-0.38%,-1.20%,-1.57%,-0.37%,,,,,,,,,,,
20/9/2005,14994.76953,15252.83984,14943.61035,15241.86035,15241.86035,424561400,1.73%,0.28%,0.09%,0.15%,,,,,,,,,,,
21/9/2005,15207.08008,15271.91016,15162.59961,15223.62012,15223.62012,338187000,-0.12%,1.02%,0.41%,1.67%,,,,,,,,,,,
22/9/2005,15144.5498,15194.00977,15119.99023,15179.9502,15179.9502,297848400,-0.29%,0.62%,-0.29%,2.06%,,,,,,,,,,,
